ball_x, ball_y, ball_vel_x, ball_vel_y, paddle_a_x, paddle_a_y, paddle_b_x, paddle_b_y,sigmoid
1280,800,-10,10,25,800,2535,800,0.000000
1270,810,-10,10,25,800,2535,800,0.000000
1270,810,-10,10,25,800,2535,800,0.000000
1260,820,-10,10,25,800,2535,800,0.000000
1260,820,-10,10,25,800,2535,800,0.000000
1250,830,-10,10,25,800,2535,800,0.000000
1250,830,-10,10,25,800,2535,800,0.000000
1240,840,-10,10,25,800,2535,800,0.000000
1240,840,-10,10,25,800,2535,800,0.000000
1230,850,-10,10,25,800,2535,800,0.000000
1230,850,-10,10,25,800,2535,800,0.000000
1220,860,-10,10,25,800,2535,800,0.000000
1220,860,-10,10,25,800,2535,800,0.000000
1210,870,-10,10,25,800,2535,800,0.000000
1210,870,-10,10,25,800,2535,800,0.000000
1200,880,-10,10,25,800,2535,800,0.000000
1200,880,-10,10,25,800,2535,800,0.000000
1190,890,-10,10,25,800,2535,800,0.000000
1190,890,-10,10,25,800,2535,800,0.000000
1180,900,-10,10,25,800,2535,800,0.000000
1180,900,-10,10,25,800,2535,800,0.000000
1170,910,-10,10,25,800,2535,800,0.000000
1170,910,-10,10,25,800,2535,800,0.000000
1160,920,-10,10,25,800,2535,800,0.000000
1160,920,-10,10,25,800,2535,800,0.000000
1150,930,-10,10,25,800,2535,800,0.000000
1150,930,-10,10,25,800,2535,800,0.000000
1140,940,-10,10,25,800,2535,800,0.000000
1140,940,-10,10,25,800,2535,800,0.000000
1130,950,-10,10,25,800,2535,800,0.000000
1130,950,-10,10,25,800,2535,800,0.000000
1120,960,-10,10,25,800,2535,800,0.000000
1120,960,-10,10,25,800,2535,800,0.000000
1110,970,-10,10,25,800,2535,800,0.000000
1110,970,-10,10,25,800,2535,800,0.000000
1100,980,-10,10,25,800,2535,800,0.000000
1100,980,-10,10,25,800,2535,800,0.000000
1090,990,-10,10,25,800,2535,800,0.000000
1090,990,-10,10,25,800,2535,800,0.000000
1080,1000,-10,10,25,800,2535,800,0.000000
1080,1000,-10,10,25,800,2535,800,0.000000
1070,1010,-10,10,25,800,2535,800,0.000000
1070,1010,-10,10,25,800,2535,800,0.000000
1060,1020,-10,10,25,800,2535,800,0.000000
1060,1020,-10,10,25,800,2535,800,0.000000
1050,1030,-10,10,25,800,2535,800,0.000000
1050,1030,-10,10,25,800,2535,800,0.000000
1040,1040,-10,10,25,800,2535,800,0.000000
1040,1040,-10,10,25,800,2535,800,0.000000
1030,1050,-10,10,25,800,2535,800,0.000000
1030,1050,-10,10,25,800,2535,800,0.000000
1020,1060,-10,10,25,800,2535,800,0.000000
1020,1060,-10,10,25,800,2535,800,0.000000
1010,1070,-10,10,25,800,2535,800,0.000000
1010,1070,-10,10,25,800,2535,800,0.000000
1000,1080,-10,10,25,800,2535,800,0.000000
1000,1080,-10,10,25,800,2535,800,0.000000
990,1090,-10,10,25,800,2535,800,0.000000
990,1090,-10,10,25,800,2535,800,0.000000
980,1100,-10,10,25,800,2535,800,0.000000
980,1100,-10,10,25,800,2535,800,0.000000
970,1110,-10,10,25,800,2535,800,0.000000
970,1110,-10,10,25,800,2535,800,0.000000
960,1120,-10,10,25,800,2535,800,0.000000
960,1120,-10,10,25,800,2535,800,0.000000
950,1130,-10,10,25,800,2535,800,0.000000
950,1130,-10,10,25,800,2535,800,0.000000
940,1140,-10,10,25,800,2535,800,0.000000
940,1140,-10,10,25,800,2535,800,0.000000
930,1150,-10,10,25,800,2535,800,0.000000
930,1150,-10,10,25,800,2535,800,0.000000
920,1160,-10,10,25,800,2535,800,0.000000
920,1160,-10,10,25,800,2535,800,0.000000
910,1170,-10,10,25,800,2535,800,0.000000
910,1170,-10,10,25,800,2535,800,0.000000
900,1180,-10,10,25,800,2535,800,0.000000
